msg, files, lines, committer_date, 'modified_files'
Fix NPE in ScanSummary.,1,4,2018-11-07 11:25:06-08:00,['ScanSummary.java']
Do not filter data files if filter is null or always true.,1,42,2018-11-08 13:33:51-08:00,['FilteredManifest.java']
Add ignoreDeleted to ManifestGroup.,3,44,2018-11-08 13:33:56-08:00,"['FilteredManifest.java', 'ManifestGroup.java', 'ScanSummary.java']"
Cache results in schema and partition spec parsers. (#89),2,43,2018-11-08 13:34:03-08:00,"['PartitionSpecParser.java', 'SchemaParser.java']"
Add exception trace when logging a task retry.,1,2,2018-11-09 12:49:18-08:00,['Tasks.java']
Add optional number of retries when refreshing metadata.,1,6,2018-11-09 13:02:13-08:00,['BaseMetastoreTableOperations.java']
Add ScanEvent and Listeners.,5,222,2018-11-09 17:31:01-08:00,"['Listener.java', 'Listeners.java', 'ScanEvent.java', 'TestListeners.java', 'BaseTableScan.java']"
Apply the idea plugin for all projects. (#70),1,1,2018-11-12 13:14:24-08:00,['build.gradle']
"Update TableScan.select to select data columns, not manifest columns. (#95)

* Update TableScan.select to select data columns, not manifest columns.
* Add TableScan#project to set a projection without select.
* Add projection schema to scan events.",8,146,2018-11-12 13:29:23-08:00,"['TableScan.java', 'ScanEvent.java', 'BaseTableScan.java', 'ScanSummary.java', 'IcebergGenerics.java', 'TableScanIterable.java', 'IcebergPigInputFormat.java', 'Reader.java']"
"Add task dependency on shadowJar to install.

This fixes #96.",1,1,2018-11-13 09:58:43-08:00,['build.gradle']
Add accessor for data timestamp to ScanSummary.PartitionMetrics.,1,16,2018-11-13 11:28:01-08:00,['ScanSummary.java']
Add snapshot timestamp filtering to ScanSummary.,1,26,2018-11-13 11:37:58-08:00,['ScanSummary.java']
Add Apache site.,14,165,2018-11-19 13:03:03-08:00,"['.gitignore', 'README.md', 'README.md', 'community.md', 'extra.css', 'Iceberg-logo-wordmark.png', 'Iceberg-logo.png', 'favicon-16x16.png', 'favicon-32x32.png', 'favicon-96x96.png', 'favicon.ico', 'iceberg-logo-icon.png', 'index.md', 'mkdocs.yml']"
"Update headers and licensing for Apache.

* Use Apache headers
* Add check-licenses script from Apache Spark
* Add license headers to markdown files
* Remove javadocs, which will be published on the site",671,111301,2018-11-19 13:31:41-08:00,"['.travis.yml', 'LICENSE', 'NOTICE', 'OSSMETADATA', 'README.md', 'AppendFiles.java', 'CombinedScanTask.java', 'DataFile.java', 'DeleteFiles.java', 'ExpireSnapshots.java', 'FileFormat.java', 'FileScanTask.java', 'Files.java', 'Filterable.java', 'FilteredSnapshot.java', 'Metrics.java', 'OverwriteFiles.java', 'PartitionField.java', 'PartitionSpec.java', 'PendingUpdate.java', 'ReplacePartitions.java', 'RewriteFiles.java', 'Rollback.java', 'ScanTask.java', 'Schema.java', 'Snapshot.java', 'SnapshotIterable.java', 'StructLike.java', 'Table.java', 'TableScan.java', 'Tables.java', 'Transaction.java', 'UpdateProperties.java', 'UpdateSchema.java', 'Listener.java', 'Listeners.java', 'ScanEvent.java', 'AlreadyExistsException.java', 'CommitFailedException.java', 'NoSuchTableException.java', 'RuntimeIOException.java', 'ValidationException.java', 'And.java', 'Binder.java', 'BoundPredicate.java', 'BoundReference.java', 'Evaluator.java', 'Expression.java', 'ExpressionVisitors.java', 'Expressions.java', 'False.java', 'InclusiveMetricsEvaluator.java', 'Literal.java', 'Literals.java', 'NamedReference.java', 'Not.java', 'Or.java', 'Predicate.java', 'Projections.java', 'Reference.java', 'ResidualEvaluator.java', 'RewriteNot.java', 'SerializationProxies.java', 'StrictMetricsEvaluator.java', 'True.java', 'UnboundPredicate.java', 'CloseableGroup.java', 'CloseableIterable.java', 'DelegatingInputStream.java', 'DelegatingOutputStream.java', 'FileAppender.java', 'InputFile.java', 'OutputFile.java', 'PositionOutputStream.java', 'SeekableInputStream.java', 'Bucket.java', 'Dates.java', 'Identity.java', 'PartitionSpecVisitor.java', 'ProjectionUtil.java', 'Timestamps.java', 'Transform.java', 'TransformUtil.java', 'Transforms.java', 'Truncate.java', 'AssignFreshIds.java', 'CheckCompatibility.java', 'Comparators.java', 'Conversions.java', 'FindTypeVisitor.java', 'GetProjectedIds.java', 'IndexById.java', 'IndexByName.java', 'PrimitiveHolder.java', 'PruneColumns.java', 'ReassignIds.java', 'Type.java', 'TypeUtil.java', 'Types.java', 'TestHelpers.java', 'TestPartitionPaths.java', 'TestListeners.java', 'TestEvaluatior.java', 'TestExpressionBinding.java', 'TestExpressionHelpers.java', 'TestExpressionSerialization.java', 'TestInclusiveMetricsEvaluator.java', 'TestLiteralSerialization.java', 'TestMiscLiteralConversions.java', 'TestNumericLiteralConversions.java', 'TestPredicateBinding.java', 'TestStrictMetricsEvaluator.java', 'TestStringLiteralConversions.java', 'TestBucketing.java', 'TestDates.java', 'TestIdentity.java', 'TestProjection.java', 'TestResiduals.java', 'TestTimestamps.java', 'TestTransformSerialization.java', 'TestTruncate.java', 'TestBinaryComparator.java', 'TestCharSeqComparator.java', 'TestComparableComparator.java', 'TestReadabilityChecks.java', 'TestSerializableTypes.java', 'build.gradle', 'DynClasses.java', 'DynFields.java', 'BaseCombinedScanTask.java', 'BaseFileScanTask.java', 'BaseMetastoreTableOperations.java', 'BaseMetastoreTables.java', 'BaseSnapshot.java', 'BaseTable.java', 'BaseTableScan.java', 'BaseTransaction.java', 'ConfigProperties.java', 'DataFiles.java', 'FastAppend.java', 'FileHistory.java', 'FilteredManifest.java', 'GenericDataFile.java', 'HasTableOperations.java', 'ManifestEntry.java', 'ManifestGroup.java', 'ManifestReader.java', 'ManifestWriter.java', 'MergeAppend.java', 'MergingSnapshotUpdate.java', 'OverwriteData.java', 'PartitionData.java', 'PartitionSpecParser.java', 'PropertiesUpdate.java', 'RemoveSnapshots.java', 'ReplaceFiles.java', 'ReplacePartitionsOperation.java', 'RollbackToSnapshot.java', 'ScanSummary.java', 'SchemaParser.java', 'SchemaUpdate.java', 'SerializableByteBufferMap.java', 'SnapshotParser.java', 'SnapshotUpdate.java', 'StreamingDelete.java', 'SystemProperties.java', 'TableMetadata.java', 'TableMetadataParser.java', 'TableOperations.java', 'TableProperties.java', 'Avro.java', 'AvroCustomOrderSchemaVisitor.java', 'AvroFileAppender.java', 'AvroIO.java', 'AvroIterable.java', 'AvroSchemaUtil.java', 'AvroSchemaVisitor.java', 'BuildAvroProjection.java', 'GenericAvroReader.java', 'GenericAvroWriter.java', 'LogicalMap.java', 'ProjectionDatumReader.java', 'PruneColumns.java', 'SchemaToType.java', 'TypeToSchema.java', 'UUIDConversion.java', 'ValueReader.java', 'ValueReaders.java', 'ValueWriter.java', 'ValueWriters.java', 'HadoopInputFile.java', 'HadoopOutputFile.java', 'HadoopTableOperations.java', 'HadoopTables.java', 'Util.java', 'BinPacking.java', 'CharSequenceWrapper.java', 'ExceptionUtil.java', 'Exceptions.java', 'JsonUtil.java', 'Pair.java', 'ParallelIterable.java', 'StructLikeWrapper.java', 'Tasks.java', 'ThreadPools.java', 'TableMetadataParserTest.java', 'TableTestBase.java', 'TestCreateTransaction.java', 'TestDeleteFiles.java', 'TestFastAppend.java', 'TestMergeAppend.java', 'TestOverwrite.java', 'TestReplaceFiles.java', 'TestReplacePartitions.java', 'TestReplaceTransaction.java', 'TestSchemaUpdate.java', 'TestSnapshotJson.java', 'TestTableMetadataJson.java', 'TestTables.java', 'TestTransaction.java', 'AvroDataTest.java', 'AvroTestHelpers.java', 'RandomAvroData.java', 'TestAvroReadProjection.java', 'TestGenericAvro.java', 'TestReadProjection.java', 'TestSchemaConversions.java', 'HadoopTableTestBase.java', 'TestHadoopCommits.java', 'TestBinPacking.java', 'GenericRecord.java', 'IcebergGenerics.java', 'Record.java', 'TableScanIterable.java', 'DataReader.java', 'DataWriter.java', 'GenericReaders.java', 'GenericWriters.java', 'IcebergDecoder.java', 'IcebergEncoder.java', 'GenericParquetReaders.java', 'GenericParquetWriter.java', 'DataTest.java', 'DataTestHelpers.java', 'RandomGenericData.java', 'TestLocalScan.java', 'TestReadProjection.java', 'TestGenericData.java', 'TestGenericReadProjection.java', 'TestSingleMessageEncoding.java', 'TestGenericData.java', 'TestGenericReadProjection.java', '.rat-excludes', 'check-license', 'allclasses-frame.html', 'allclasses-noframe.html', 'AppendFiles.html', 'BaseCombinedScanTask.html', 'BaseMetastoreTableOperations.html', 'BaseMetastoreTables.html', 'BaseReplaceFiles.html', 'BaseTable.html', 'CombinedScanTask.html', 'DataFile.html', 'DataFiles.Builder.html', 'DataFiles.html', 'DeleteFiles.html', 'ExpireSnapshots.html', 'FileFormat.html', 'FileScanTask.html', 'Files.html', 'Filterable.html', 'FilteredManifest.html', 'FilteredSnapshot.html', 'HasTableOperations.html', 'ManifestReader.html', 'Metrics.html', 'OverwriteData.html', 'OverwriteFiles.html', 'PartitionField.html', 'PartitionSpec.Builder.html', 'PartitionSpec.html', 'PartitionSpecParser.html', 'PendingUpdate.html', 'ReplacePartitions.html', 'ReplacePartitionsOperation.html', 'RewriteFiles.html', 'Rollback.html', 'ScanSummary.Builder.html', 'ScanSummary.PartitionMetrics.html', 'ScanSummary.html', 'ScanTask.html', 'Schema.html', 'SchemaParser.html', 'Snapshot.html', 'SnapshotParser.html', 'StructLike.html', 'Table.html', 'TableMetadata.SnapshotLogEntry.html', 'TableMetadata.html', 'TableMetadataParser.html', 'TableOperations.html', 'TableProperties.html', 'TableScan.html', 'Tables.html', 'Transaction.html', 'UpdateProperties.html', 'UpdateSchema.html', 'Avro.ReadBuilder.html', 'Avro.WriteBuilder.html', 'Avro.html', 'AvroIterable.html', 'AvroSchemaUtil.html', 'AvroSchemaVisitor.html', 'LogicalMap.html', 'ProjectionDatumReader.html', 'UUIDConversion.html', 'ValueReader.html', 'ValueReaders.StructReader.html', 'ValueReaders.html', 'ValueWriter.html', 'ValueWriters.StructWriter.html', 'ValueWriters.html', 'package-frame.html', 'package-summary.html', 'package-tree.html', 'DynClasses.Builder.html', 'DynClasses.html', 'DynConstructors.Builder.html', 'DynConstructors.Ctor.html', 'DynConstructors.html', 'DynFields.BoundField.html', 'DynFields.Builder.html', 'DynFields.StaticField.html', 'DynFields.UnboundField.html', 'DynFields.html', 'DynMethods.BoundMethod.html', 'DynMethods.Builder.html', 'DynMethods.StaticMethod.html', 'DynMethods.UnboundMethod.html', 'DynMethods.html', 'package-frame.html', 'package-summary.html', 'package-tree.html', 'GenericRecord.html', 'IcebergGenerics.ScanBuilder.html', 'IcebergGenerics.html', 'Record.html', 'DataReader.html', 'DataWriter.html', 'IcebergDecoder.html', 'IcebergEncoder.html', 'package-frame.html', 'package-summary.html', 'package-tree.html', 'package-frame.html', 'package-summary.html', 'package-tree.html', 'GenericParquetReaders.html', 'GenericParquetWriter.html', 'package-frame.html', 'package-summary.html', 'package-tree.html', 'AlreadyExistsException.html', 'CommitFailedException.html', 'NoSuchTableException.html', 'RuntimeIOException.html', 'ValidationException.html', 'package-frame.html', 'package-summary.html', 'package-tree.html', 'And.html', 'Binder.html', 'BoundPredicate.html', 'BoundReference.html', 'Evaluator.html', 'Expression.Operation.html', 'Expression.html', 'ExpressionVisitors.BoundExpressionVisitor.html', 'ExpressionVisitors.ExpressionVisitor.html', 'ExpressionVisitors.html', 'Expressions.html', 'False.html', 'InclusiveMetricsEvaluator.html', 'Literal.html', 'NamedReference.html', 'Not.html', 'Or.html', 'Predicate.html', 'Projections.ProjectionEvaluator.html', 'Projections.html', 'Reference.html', 'ResidualEvaluator.html', 'StrictMetricsEvaluator.html', 'True.html', 'UnboundPredicate.html', 'package-frame.html', 'package-summary.html', 'package-tree.html', 'HadoopInputFile.html', 'HadoopOutputFile.html', 'HadoopTables.html', 'package-frame.html', 'package-summary.html', 'package-tree.html', 'CloseableGroup.html', 'CloseableIterable.html', 'DelegatingInputStream.html', 'DelegatingOutputStream.html', 'FileAppender.html', 'InputFile.html', 'OutputFile.html', 'PositionOutputStream.html', 'SeekableInputStream.html', 'package-frame.html', 'package-summary.html', 'package-tree.html', 'ColumnIdMap.html', 'ORC.ReadBuilder.html', 'ORC.WriteBuilder.html', 'ORC.html', 'OrcFileAppender.html', 'OrcIterator.html', 'TypeConversion.html', 'package-frame.html', 'package-summary.html', 'package-tree.html', 'package-frame.html', 'package-summary.html', 'package-tree.html', 'ColumnIterator.html', 'ColumnWriter.html', 'Parquet.ReadBuilder.html', 'Parquet.WriteBuilder.html', 'Parquet.html', 'ParquetAvroReader.html', 'ParquetAvroValueReaders.TimeMillisReader.html', 'ParquetAvroValueReaders.TimestampMillisReader.html', 'ParquetAvroValueReaders.html', 'ParquetAvroWriter.html', 'ParquetDictionaryRowGroupFilter.html', 'ParquetIterable.html', 'ParquetMetrics.html', 'ParquetMetricsRowGroupFilter.html', 'ParquetReader.html', 'ParquetSchemaUtil.html', 'ParquetTypeVisitor.html', 'ParquetValueReader.html', 'ParquetValueReaders.BinaryAsDecimalReader.html', 'ParquetValueReaders.BytesReader.html', 'ParquetValueReaders.FloatAsDoubleReader.html', 'ParquetValueReaders.IntAsLongReader.html', 'ParquetValueReaders.IntegerAsDecimalReader.html', 'ParquetValueReaders.ListReader.html', 'ParquetValueReaders.LongAsDecimalReader.html', 'ParquetValueReaders.MapReader.html', 'ParquetValueReaders.PrimitiveReader.html', 'ParquetValueReaders.RepeatedKeyValueReader.html', 'ParquetValueReaders.RepeatedReader.html', 'ParquetValueReaders.ReusableEntry.html', 'ParquetValueReaders.StringReader.html', 'ParquetValueReaders.StructReader.html', 'ParquetValueReaders.UnboxedReader.html', 'ParquetValueReaders.html', 'ParquetValueWriter.html', 'ParquetValueWriters.PrimitiveWriter.html', 'ParquetValueWriters.RepeatedKeyValueWriter.html', 'ParquetValueWriters.RepeatedWriter.html', 'ParquetValueWriters.StructWriter.html', 'ParquetValueWriters.html', 'ParquetWriteAdapter.html', 'TripleWriter.html', 'TypeToMessageType.html', 'TypeWithSchemaVisitor.html', 'package-frame.html', 'package-summary.html', 'package-tree.html', 'IcebergPigInputFormat.IcebergRecordReader.html', 'IcebergPigInputFormat.html', 'IcebergStorage.html', 'PigParquetReader.html', 'SchemaUtil.html', 'package-frame.html', 'package-summary.html', 'package-tree.html', 'PruneColumnsWithReordering.html', 'PruneColumnsWithoutReordering.html', 'SparkExpressions.html', 'SparkFilters.html', 'SparkSchemaUtil.html', 'SparkAvroReader.html', 'SparkAvroWriter.html', 'SparkOrcReader.html', 'SparkOrcWriter.html', 'SparkParquetReaders.html', 'SparkValueReaders.html', 'SparkValueWriters.html', 'package-frame.html', 'package-summary.html', 'package-tree.html', 'Hive.html', 'package-frame.html', 'package-summary.html', 'package-tree.html', 'package-frame.html', 'package-summary.html', 'package-tree.html', 'IcebergSource.html', 'package-frame.html', 'package-summary.html', 'package-tree.html', 'PartitionSpecVisitor.html', 'Transform.html', 'Transforms.html', 'package-frame.html', 'package-summary.html', 'package-tree.html', 'CheckCompatibility.html', 'Comparators.html', 'Conversions.html', 'IndexByName.html', 'Type.NestedType.html', 'Type.PrimitiveType.html', 'Type.TypeID.html', 'Type.html', 'TypeUtil.CustomOrderSchemaVisitor.html', 'TypeUtil.NextID.html', 'TypeUtil.SchemaVisitor.html', 'TypeUtil.html', 'Types.BinaryType.html', 'Types.BooleanType.html', 'Types.DateType.html', 'Types.DecimalType.html', 'Types.DoubleType.html', 'Types.FixedType.html', 'Types.FloatType.html', 'Types.IntegerType.html', 'Types.ListType.html', 'Types.LongType.html', 'Types.MapType.html', 'Types.NestedField.html', 'Types.StringType.html', 'Types.StructType.html', 'Types.TimeType.html', 'Types.TimestampType.html', 'Types.UUIDType.html', 'Types.html', 'package-frame.html', 'package-summary.html', 'package-tree.html', 'BinPacking.ListPacker.html', 'BinPacking.PackingIterable.html', 'BinPacking.html', 'CharSequenceWrapper.html', 'ExceptionUtil.html', 'Exceptions.html', 'JsonUtil.html', 'Pair.html', 'ParallelIterable.html', 'StructLikeWrapper.html', 'Tasks.Builder.html', 'Tasks.FailureTask.html', 'Tasks.Task.html', 'Tasks.UnrecoverableException.html', 'Tasks.html', 'ThreadPools.html', 'package-frame.html', 'package-summary.html', 'package-tree.html', 'constant-values.html', 'deprecated-list.html', 'help-doc.html', 'index-all.html', 'index.html', 'overview-frame.html', 'overview-summary.html', 'overview-tree.html', 'package-list', 'script.js', 'serialized-form.html', 'stylesheet.css', 'gradle-wrapper.properties', 'ColumnIterator.java', 'ColumnWriter.java', 'MessageTypeToType.java', 'PageIterator.java', 'Parquet.java', 'ParquetAvro.java', 'ParquetAvroReader.java', 'ParquetAvroValueReaders.java', 'ParquetAvroWriter.java', 'ParquetConversions.java', 'ParquetDictionaryRowGroupFilter.java', 'ParquetFilters.java', 'ParquetIO.java', 'ParquetIterable.java', 'ParquetMetrics.java', 'ParquetMetricsRowGroupFilter.java', 'ParquetReadSupport.java', 'ParquetReader.java', 'ParquetSchemaUtil.java', 'ParquetTypeVisitor.java', 'ParquetValueReader.java', 'ParquetValueReaders.java', 'ParquetValueWriter.java', 'ParquetValueWriters.java', 'ParquetWriteAdapter.java', 'ParquetWriteSupport.java', 'ParquetWriter.java', 'PruneColumns.java', 'TripleIterator.java', 'TripleWriter.java', 'TypeToMessageType.java', 'TypeWithSchemaVisitor.java', 'TestHelpers.java', 'TestParquetReadProjection.java', 'TestReadProjection.java', 'TestDictionaryRowGroupFilter.java', 'TestMetricsRowGroupFilter.java', 'TestMetricsRowGroupFilterTypes.java', 'IcebergPigInputFormat.java', 'IcebergStorage.java', 'PigParquetReader.java', 'SchemaUtil.java', 'SchemaUtilTest.java', 'settings.gradle', 'README.md', 'community.md', 'extra.css', 'index.md', 'mkdocs.yml', 'FixupTypes.java', 'PruneColumnsWithReordering.java', 'PruneColumnsWithoutReordering.java', 'SparkExpressions.java', 'SparkFilters.java', 'SparkSchemaUtil.java', 'SparkTypeToType.java', 'SparkTypeVisitor.java', 'TypeToSparkType.java', 'SparkAvroReader.java', 'SparkAvroWriter.java', 'SparkParquetReaders.java', 'SparkValueReaders.java', 'SparkValueWriters.java', 'Hive.java', 'IcebergSource.java', 'PartitionKey.java', 'Reader.java', 'Stats.java', 'Writer.java', 'org.apache.spark.sql.sources.DataSourceRegister', 'SparkTableUtil.scala', 'AvroDataTest.java', 'CodegenExamples.java', 'RandomData.java', 'TestHelpers.java', 'TestParquetAvroReader.java', 'TestParquetAvroWriter.java', 'TestSparkAvroReader.java', 'TestSparkDateTimes.java', 'TestSparkParquetReader.java', 'TestAvroScan.java', 'TestDataFrameWrites.java', 'TestFilteredScan.java', 'TestIcebergSource.java', 'TestParquetScan.java', 'TestParquetWrite.java', 'TestReadProjection.java', 'TestSparkReadProjection.java', 'TestTables.java']"
Update README for Apache.,1,72,2018-11-19 14:02:26-08:00,['README.md']
Docs: Update mailing lists and add Travis CI badge to README.,2,23,2018-11-20 09:16:23-08:00,"['README.md', 'community.md']"
Allow Tables implementations to override table paths. (#1),1,4,2018-11-26 09:37:44-08:00,['BaseMetastoreTables.java']
Fix gitignore for IDEA project files. (#5),1,2,2018-11-26 12:14:54-08:00,['.gitignore']
Allow custom FileSystem logic in HadoopTableOperations. (#15),1,16,2018-11-27 11:22:16-08:00,['HadoopTableOperations.java']
Support dateCreated expressions in ScanSummary. (#2),2,233,2018-11-28 15:30:53-08:00,"['ScanSummary.java', 'TestScanSummary.java']"
"Remove filter and iterable methods from Snapshot. (#17)

These are not used.",5,143,2018-11-28 15:31:26-08:00,"['Filterable.java', 'FilteredSnapshot.java', 'Snapshot.java', 'SnapshotIterable.java', 'BaseSnapshot.java']"
Fix Javadoc link in README.,1,4,2018-12-04 17:02:33-08:00,['README.md']
"Set derby log system property earlier (#19)

Otherwise an empty hive/derby.log file is created when running the tests.",1,8,2018-12-05 08:43:38-08:00,['HiveTableBaseTest.java']
"Store multiple partition specs in table metadata. (#3)

The purpose of this change is to enable future partition spec changes
and to assign IDs to specs that can be easily encoded in an Avro file
that tracks a snapshot's manifests.

This updates TableMetadata and the metadata parser to support multiple
partition specs. This change is forward-compatible for older readers
because the ""partition-spec"" field in table metadata is still set to the
default spec.

Multiple specs are now stored in an array in table metadata called
""partition-specs"". Each entry in the array is an object with two fields,
a ""spec-id"" field with an integer ID value, and a ""partition-spec""
field with a partition spec value (an array of partition fields). This
also adds ""default-spec-id"" that points to the spec that should be used
when writing.",8,523,2018-12-05 11:53:06-08:00,"['PartitionSpec.java', 'ManifestReader.java', 'ManifestWriter.java', 'PartitionSpecParser.java', 'TableMetadata.java', 'TableMetadataParser.java', 'TestMergeAppend.java', 'TestTableMetadataJson.java']"
"Add manifest listing files (#21)

* Add ManifestFile and migrate Snapshot to return it.
* Optionally write manifest lists to separate files.
    This adds a new table property, write.manifest-lists.enabled, that
    defaults to false. When enabled, new snapshot manifest lists will be
    written into separate files. The file location will be stored in the
    snapshot metadata as ""manifest-list"".
* Aggregate partition field summaries when writing manifests.
* Add InclusiveManifestEvaluator.
    This expression evaluator determines whether a manifest needs to be
    scanned or whether it cannot contain data files matching a partition
    predicate.
* Add file length to ManifestFile.
* Ensure files in manifest lists have helpful metadata.
    This modifies SnapshotUpdate when writing a snapshot with a manifest
    list file. If files for the manifest list do not have full metadata,
    then this will scan the manifests to add metadata, including snapshot
    ID, added/existing/deleted count, and partition field summaries.
* Add partitions name mapping when reading Snapshot manifest list.
* Update ScanSummary and FileHistory to use ManifestFile metadata.
    This optimizes ScanSummary and FileHistory to ignore manifests that
    cannot have changes in the configured time range.",40,2640,2018-12-05 17:20:06-08:00,"['Files.java', 'ManifestFile.java', 'Snapshot.java', 'BoundReference.java', 'InclusiveManifestEvaluator.java', 'Literals.java', 'OutputFile.java', 'Comparators.java', 'TestHelpers.java', 'TestPartitionPaths.java', 'TestInclusiveManifestEvaluator.java', 'BaseSnapshot.java', 'BaseTableScan.java', 'FastAppend.java', 'FileHistory.java', 'GenericManifestFile.java', 'GenericPartitionFieldSummary.java', 'ManifestGroup.java', 'ManifestListWriter.java', 'ManifestWriter.java', 'MergingSnapshotUpdate.java', 'OverwriteData.java', 'PartitionSummary.java', 'RemoveSnapshots.java', 'ReplacePartitionsOperation.java', 'ScanSummary.java', 'SnapshotParser.java', 'SnapshotUpdate.java', 'TableMetadata.java', 'TableProperties.java', 'Avro.java', 'HadoopOutputFile.java', 'LocalTableOperations.java', 'TableTestBase.java', 'TestFastAppend.java', 'TestMergeAppend.java', 'TestReplaceFiles.java', 'TestSnapshotJson.java', 'TestTableMetadataJson.java', 'TestTransaction.java']"
Update ExpireSnapshots to avoid commit when no snapshots are removed. (#22),1,5,2018-12-06 09:45:39-08:00,['RemoveSnapshots.java']
"Return FileAppender from Avro.WriteBuilder, not a package-private implementation. (#27)",1,3,2018-12-06 09:49:59-08:00,['Avro.java']
Add doc about hidden partitioning.,2,72,2018-12-10 09:16:05-08:00,"['partitioning.md', 'mkdocs.yml']"
Update community doc with repo location.,1,6,2018-12-10 09:18:50-08:00,['community.md']
"Update to Spark 2.4 (#30)

* Update to the Spark 2.4 API.
* Remove ORC support from iceberg-spark.
* Use Filter instead of Expression.",12,2558,2018-12-10 09:35:15-08:00,"['build.gradle', 'SparkOrcReader.java', 'SparkOrcWriter.java', 'Reader.java', 'Writer.java', 'CodegenExamples.java', 'TestDataFrameWrites.java', 'TestFilteredScan.java', 'TestOrcScan.java', 'TestOrcWrite.java', 'TestSparkReadProjection.java', 'TestTables.java']"
Add Javadoc link.,1,3,2018-12-10 09:56:58-08:00,['mkdocs.yml']
"Add pluggable file I/O submodule in TableOperations (#14)

This adds FileIO that is returned by TableOperations and used to delete paths and to create InputFile and OutputFile instances. FileIO is Serializable so that it can be sent to tasks running in different JVMs and used for all file-related tasks for a table.",20,427,2018-12-11 09:14:45-08:00,"['Files.java', 'BaseMetastoreTableOperations.java', 'BaseSnapshot.java', 'BaseTableScan.java', 'BaseTransaction.java', 'FileIO.java', 'ManifestGroup.java', 'MergingSnapshotUpdate.java', 'RemoveSnapshots.java', 'SnapshotParser.java', 'SnapshotUpdate.java', 'TableOperations.java', 'HadoopFileIO.java', 'HadoopTableOperations.java', 'SerializableConfiguration.java', 'LocalTableOperations.java', 'TestTables.java', 'TableScanIterable.java', 'HiveTableOperations.java', 'TestTables.java']"
"Spark: Support custom data location (#6)

This adds a new table property, write.folder-storage.path, that controls the location of new data files.",5,57,2018-12-11 12:36:59-08:00,"['TableProperties.java', 'Writer.java', 'AvroDataTest.java', 'TestDataFrameWrites.java', 'TestParquetWrite.java']"
Do not scan manifests with no deletes when expiring. (#46),1,7,2018-12-12 13:50:01-08:00,['RemoveSnapshots.java']
Fix type handling in Spark and Pig. (#49),2,25,2018-12-13 08:40:17-08:00,"['PigParquetReader.java', 'SparkParquetReaders.java']"
"Fix commit retry with manfiest lists. (#48)

A manifest list is created for every commit attempt. Before this update,
the same file was used, which caused retries to fail trying to create
the same list file. This uses a new location for every manifest list,
keeps track of old lists, and cleans up unused lists after a commit
succeeds.",2,49,2018-12-13 13:18:37-08:00,"['SnapshotUpdate.java', 'TestFastAppend.java']"
"Allow custom hadoop properties to be loaded in the Spark data source (#7)

Properties that start with iceberg.hadoop are copied into the Hadoop Configuration used in the Spark source. These may be set in table properties or in read and write options passed to the Spark operation. Read and write options take precedence over the table properties.

Supporting these custom Hadoop properties should also be done in other Iceberg integrations in subsequent patches.",2,43,2018-12-14 10:04:17-08:00,"['IcebergSource.java', 'TestIcebergSource.java']"
"Update ScanSummary behavior. (#29)

* Use all manifests created after the start of the time range
* Fail when the time range may include expired snapshots
* Filter manifests with the data filter in ManifestGroup",3,60,2018-12-20 12:05:12-08:00,"['Table.java', 'ManifestGroup.java', 'ScanSummary.java']"
Use manifest lists by default and fix tests. (#51),12,100,2018-12-20 12:05:31-08:00,"['Files.java', 'BaseSnapshot.java', 'TableProperties.java', 'TableTestBase.java', 'TestCreateTransaction.java', 'TestFastAppend.java', 'TestMergeAppend.java', 'TestReplaceFiles.java', 'TestReplaceTransaction.java', 'TestTables.java', 'HadoopTableTestBase.java', 'TestHadoopCommits.java']"
"Add support for field documentation. (#59)

This adds an optional documentation string to the field level in Iceberg schemas.

Support for doc strings is added to Spark field conversion and to the UpdateSchema API.

To store field documentation, this adds a ""doc"" field to each nested field in the JSON representation of types. The spec has also been updated. This is a forward compatible change. Older readers will ignore the new doc field.",14,293,2018-12-20 12:05:58-08:00,"['Schema.java', 'UpdateSchema.java', 'AssignFreshIds.java', 'PruneColumns.java', 'ReassignIds.java', 'Types.java', 'SchemaParser.java', 'SchemaUpdate.java', 'JsonUtil.java', 'TestSchemaUpdate.java', 'TestTableMetadataJson.java', 'HadoopTableTestBase.java', 'SparkTypeToType.java', 'TypeToSparkType.java']"
Use a UUID-based approach to generate snapshot ids (#57),6,85,2018-12-21 13:58:12-08:00,"['build.gradle', 'BaseMetastoreTableOperations.java', 'TableOperations.java', 'HadoopTableOperations.java', 'HiveTableOperations.java', 'HiveTablesTest.java']"
"Use a separate executor service for the concurrent Hive test (#67)

This fixes CI build errors for master.",1,10,2019-01-07 14:04:54-08:00,['HiveTablesTest.java']
Use the FileIO submodule in Spark writers and readers. (#52),14,240,2019-01-08 16:55:54-08:00,"['Table.java', 'FileIO.java', 'BaseMetastoreTableOperations.java', 'BaseTable.java', 'BaseTransaction.java', 'TableOperations.java', 'HadoopFileIO.java', 'HadoopTableOperations.java', 'LocalTableOperations.java', 'TestTables.java', 'IcebergSource.java', 'Reader.java', 'Writer.java', 'TestTables.java']"
Remove calls to deprecated ColumnDescriptor.getType method. (#62),4,19,2019-01-11 12:33:35-08:00,"['ColumnIterator.java', 'ColumnWriter.java', 'PageIterator.java', 'ParquetDictionaryRowGroupFilter.java']"
